"The start date can't follow the end date.","Началната дата не може да следва крайната дата."
"Copy","Копирай"
"Theme id should be set","Theme id should be set"
"Theme isn't deletable.","Темата не може да бъде изтрита."
"Message","Съобщение"
"We found no files.","Няма намерени файлове."
"Remove","Премахни"
"Report All Bugs","Докладвайте всички бъгове"
"Items %1 to %2 of %3 total","Артикули %1 до %2 от общо %3"
"%1 Item","%1 Артикул"
"%1 Item(s)","%1 Артикул(и)"
"Page","Страница"
"Previous","Предишен"
"You're currently reading page","В момента четете страница"
"Next","Следващ"
"Show","Покажете"
"per page","на страница"
"About the calendar","За календара"
"Close","Затвори"
"Go Today","Отиди Днес"
"Time","Дата"
"Hour","Час"
"Minute","Минута"
"We could not detect a size.","Не успяхме да открием размер."
"We don't recognize this file extension.","Не разпознаваме това файлово разширение."
"Empty","Изпразни"
"1 column","1 колона"
"HTML Head","HTML Head"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Описание по подразбиране"
"Default Keywords","Default Keywords"
"Default Robots","Default Robots"
"Reset to Defaults","Стандартни опции"
"Header","Header"
"Logo Image","Лого Изображение"
"Logo Image Width","Ширина на Лого Изображение"
"Logo Image Height","Височина на Лого Изображение"
"Logo Image Alt","Лого Изображение алтернативен текст"
"Welcome Text","Текст Добре дошли"
"Footer","Footer"
"Copyright","Авторско право"
"Miscellaneous HTML","Miscellaneous HTML"
"Default welcome msg!","Съобщение по подразбиране за добре дошли!"
"Skip to Content","Напред към съдържанието"
"2 columns with left bar","2 колони с лявата лента"
"2 columns with right bar","2 колони с дясната лента"
"3 columns","3 колони""Back","Назад"
"Reset","Нулиране"
"Delete Role","Изтрий роля"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Save Role","Запази роля"
"Roles","Роли"
"Add New Role","Добави Нова Роля"
"Role Information","Информация за роля"
"Role Users","Потребители с роля"
"User ID","Потребителски ИН"
"User Name","Потребителско име"
"First Name","Собствено име"
"Last Name","Фамилно име"
"Email","Имейл"
"Status","Статус"
"Active","Активен"
"Inactive","Неактивен"
"Role Resources","Ресурси на роля"
"Role Info","Информация за роля"
"Role Name","Име на роля"
"Add New User","Добавяне на нов потребител"
"Users","Потребители"
"Save User","Запази потребител"
"Delete User","Изтрий потребител"
"Edit User '%1'","Редактирай потребител '%1'"
"New User","Нов потребител"
"Account Information","Информация за акаунта"
"User Email","Потребителски имейл"
"Password","Парола"
"New Password","Нова Парола"
"Password Confirmation","Потвърждаване на парола"
"This account is","Този акаунт е"
"Account Status","Състояние на профила"
"Your Password","Твоята парола"
"User Roles Information","Информация за Потребителски роли"
"Assigned","Присъединено"
"Role","Роля"
"User Information","Информация за потребител"
"User Info","Информация за потребител"
"User Role","Потребителска роля"
"Please specify the correct account and try again.","Моля, посочете правилен акаунт и опитайте отново."
"We'll email you a link to reset your password.","Ние ще Ви изпратим имейл с линк да промените паролата си."
"Please correct this email address:","Моля, поправете този имейл адрес:"
"Please enter an email address.","Моля, въведете имейл адрес."
"You updated your password.","Обновихте паролата си."
"Locked Users","Заключени Потребители"
"Unlocked %1 user(s).","Отключихте %1 потребител(и)."
"System","Система."
"Permissions","Права за достъп"
"You cannot delete your own account.","Не можете да изтриете собствения си профил."
"You deleted the user.","Изтрихте потребителя."
"We can't find a user to delete.","Не можем да открием потребител, който да изтрием."
"This user no longer exists.","Този потребител вече не съществува."
"Edit User","Редактирай потребител"
"You cannot delete self-assigned roles.","Не можете да изтривате самостоятелно възложени роли."
"You deleted the role.","Изтрихте ролята."
"An error occurred while deleting this role.","Възникна грешка при изтриване на тази роля."
"Edit Role","Редактирай Роля"
"New Role","Нова Роля"
"This role no longer exists.","Тази роля вече не съществува."
"You saved the role.","Ролята е запазена."
"An error occurred while saving this role.","Възникна грешка при запазването на тази роля."
"You have entered an invalid password for current user.","Въвели сте невалиден парола за текущия потребител."
"You saved the user.","Потребителят е запазен."
"A user with the same user name or email already exists.","Потребител със същото потребителско име или имейл вече съществува."
"Recommended","Препоръчано"
"Forced","Принудително"
"Sorry, but this password has already been used. Please create another.","Съжаляваме, но тази парола вече е била използвана. Моля да създадете друг."
"You did not sign in correctly or your account is temporarily disabled.","Не успяхте да влезете в профила си успешно или профилът ви е временно деактивиран."
"You need more permissions to access this.","Трябват Ви повече права за достъп до това."
"User Name is a required field.","Потребителско име е задължително поле."
"First Name is a required field.","Име е задължително поле."
"Last Name is a required field.","Фамилия е задължително поле."
"Please enter a valid email.","Моля въведете валиден адрес на електронна поща."
"Password is required field.","Парола е задължително поле."
"Your password must be at least %1 characters.","Паролата ви трябва да е поне %1 символа."
"Your password must include both numeric and alphabetic characters.","Паролата ви трябва да съдържа едновременно букви и цифри."
"Your password confirmation must match your password.","Вашето потвърждение на паролата трябва да съвпада с вашата парола."
"It's time to change your password.","Време е да промените паролата си."
"It's time to <a href=\"%1\">change your password</a>.","Време е да <a href=\"%1\">промените паролата си</a>."
"Your password has expired; please contact your administrator.","Паролата ви е изтекла; моля, свържете се с администратора си."
"Enter your email address.  You will receive an email with a link to reset your password.","Напишете своя емайл адрес. Вие ще получите имейл с линк да промените паролата си."
"Email address","Имейл адрес"
"Retrieve Password","Получи парола"
"Back to Sign in","Обратно към Вход"
"Forgot your password?","Забравена парола?"
"Reset a Password","Възстановяване на парола"
"Confirm New Password","Потвърдете Нова Парола"
"Reset Password","Възстановяване на паролата"
"Roles Resources","Ролеви ресурси"
"Resource Access","Достъп до ресурсите"
"Custom","Персонализиран"
"All","Всички"
"Resources","Ресурси"
"The password for your account has been successfully changed.","Паролата за профила ви е била променена успешно."
"If you did not request this change, please contact us.","Ако не сте заявили тази промяна, моля, свържете се с нас."
"Thank you,","Благодаря,"
"There was recently a request to change the password for your account.","Наскоро имаше искане за промяна на паролата за профила Ви."
"If you requested this change, reset your password here:","Ако сте поискали тази промяна, смените паролата си тук:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Ако не сте направили това искане, можете да пренебрегнете този имейл и паролата Ви ще остане същата."
"Maximum Login Failures to Lockout Account","Максимален брой неуспешни влизания в профила, за блокиране на профила"
"We will disable this feature if the value is empty.","Ще изключим тази функция, ако стойността е празна."
"Lockout Time (minutes)","Времетраене на заключването (минути)"
"Password Lifetime (days)","Времетраене на паролата (дни)"
"We will disable this feature if the value is empty. ","Ще изключим тази функция, ако стойността е празна."
"Password Change","Промяна на паролата"
"Unlock","Отключи"
"ID","ИН"
"Username","Потребителско име"
"Last login","Последно влизане"
"Failures","Неуспешни опити"
"Unlocked","Отключен""Wish List","Списък с желани продукти"
"Wish List Sharing","Споделяне на списъка с желани"
"My Wish List","Моят списък с желани продукти"
"%1's Wish List","Списъка с желани на %1"
"Page not found.","Страницата не е намерена."
"We can't specify a product.","Не можем да посочим продукт."
"We can't add the item to Wish List right now: %1.","В момента не можем да добавим артикула към списъка с желани: %1"
"We can't add the item to Wish List right now.","В момента не можем да добавим артикула към списъка с желани."
"You added %1 to your shopping cart.","Добавихте %1 в кошницата."
"This product(s) is out of stock.","Тези продукт(и) не са в наличност."
"We can't add the item to the cart right now.","В момента не можем да добавим елемента към кошницата."
"We can't load the Wish List item right now.","В момента не можем да заредим артикула от списъка с желани."
"We can't configure the product right now.","Не можем да конфигурираме продукта в момента."
"%1 has been moved to your wish list."," %1 е преместен в списъка с желани."
"We can't move the item to the wish list.","Не можем да преместим артикула в списъка с желани."
"We can't delete the item from Wish List right now because of an error: %1.","В момента не можем да изтрием артикул от списъка с желани, поради следната грешка:"
"We can't delete the item from the Wish List right now.","В момента не можем да изтрием артикул от списъка с желани."
"Message length must not exceed %1 symbols","Дължината на съобщението не трябва да надвишава %1 символа"
"Please enter an email address.","Моля, въведете имейл адрес."
"This wish list can be shared %1 more times.","Този списък с желани продукти може да се споделя още %1 пъти."
"Please enter a valid email address.","Моля, въведете валиден имейл адрес."
"Your wish list has been shared.","Споделихте списъка с желани"
"We can't delete item from Wish List right now.","В момента не можем да премахнем артикул от списъка с желани."
"Can't save description %1","Не можем да запазим описание %1"
"Can't update wish list","Списъкът с желани продукти не може да се актуализира"
"%1 has been updated in your Wish List.","%1 беше актуализиран във Вашия списък с желани."
"We can't update your Wish List right now.","В момента не можем да актуализираме списъка с желани."
"The requested Wish List doesn't exist.","Исканият списък с желани продукти не съществува."
"We can't create the Wish List right now.","В момента не можем да създадем списък с желани."
"%1 items","%1 артикули"
"1 item","1 артикул"
"Comment","Коментар"
"Display number of items in wish list","Покажи броя на артикули в списъка с желани."
"Display item quantities","Покажи количествата на продуктите"
"We can't specify a wish list.","Не можем да уточним списък желание."
"Cannot specify product.","Не може да се уточни продукт."
"Product is not salable.","Продуктът не е продаваем."
"Invalid item option format.","Невалиден формат на опцията."
"%1 for ""%2"".","%1 за ""%2""."
"We can't add this item to your shopping cart right now.","В момента не можем да добавим този артикул към кошницата."
"We couldn't add the following product(s) to the shopping cart: %1.","Не успяхме да добавим следните продукти към кошницата: %1."
"We can't update the Wish List right now.","В момента не можем да актуализираме списъка с желани."
"%1 product(s) have been added to shopping cart: %2."," %1 продукт(и) бяха добавени към кошницата: %2."
"Comment:","Коментар:"
"We cannot retrieve the Wish List.","Не можем да извлечем списъка с желани"
"%1's Wishlist","Списъкът с желани на %1"
"We can't specify a wish list item.","Не можем да уточним списъка с желани"
"The product does not exist.","Продуктът не съществува."
"Test Phrase","Тестова Фраза"
"message","съобщение"
"Message","Съобщение"
"Are you sure you want to remove this item?","Сигурни ли сте, че искате да премахнете този елемент?"
"Share Wish List","Сподели списъка с желани"
"Add All to Cart","Добави всички към кошницата"
"Update Wish List","Актуализирай списъка с желани"
"Move to Wishlist","Премести в списъка с желани"
"View Product","Виж продукта"
"Qty","Количество"
"Add to Cart","Добави в кошницата"
"Availability","Достъпност"
"In stock","В наличност"
"Out of stock","Изчерпано количество"
"Edit","Редактирай"
"Remove Item","Премахване на елемент"
"Remove item","Премахване на елемент"
"Add to Compare","Добави за сравнение"
"This Wish List has no Items","В този списък с желани продукти няма артикули"
"See Details","Виж детайлите"
"RSS link to %1's wishlist","RSS линк към списъка с желани на %1"
"RSS Feed","RSS новини"
"Product","Продукт"
"Add to Wish List","Добави към списъка с желани"
"Back","Назад"
"Wish List is empty now.","В момента списъка с желани продукти е празен."
"* Required Fields","* Задължителни полета"
"Sharing Information","информация за споделянето"
"Email addresses, separated by commas","Имейл адресите, разделени със запетайка"
"Last Added Items","Последно добавени неща"
"Remove This Item","Премахни този елемент"
"Go to Wish List","Отиди в списъка с желани"
"You have no items in your wish list.","Нямате продукти във списъка с желани."
"Are you sure you want to remove this product from your Wish List?","Сигурни ли сте, че искате да премахнете този продукт от списъка ви желани продукти?"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name иска да сподели с Вас този списък с желани продукти от %store_name:"
"Message from %customer_name:","Съобщение от %customer_name:"
"View all Wish List items","Преглед на всички желани артикули"
"Share Options","Опции за споделяне"
"Email Sender","Подател"
"Email Template","Темплейт на имейла"
"Max Emails Allowed to be Sent","Максимален брой имейли позволени да бъдат изпратени"
"Email Text Length Limit","Ограничение на дължниата на текст в имейл"
"General Options","Основни параметри"
"Enabled","Активиран"
"My Wish List Link","Линк към списъка с желани"
"Display Wish List Summary","Покажи резюме на списъка с желани"
"Enable RSS","Разреши RSS"
"No Items Found","Не са намерени артикули"
"Product Name","Име на продукта"
"User Description","Потребителско Описание"
"Quantity","Количество"
"Add Date","Добави Дата"
"Days in Wish List","Дни в списъка с желани"
"Action","Действие"
"Configure","Конфигуриране"
"Delete","Изтриване"
"Product Details and Comment","Допълнителна информация и коментар""Summary","Обобщение"
"Account Dashboard","Акаунт табло"
"Account Information","Информация за акаунта"
"Address Book","Книга с адреси"
"Menu","Меню"
"Account","Профил"
"Settings","Настройки""Now Shopping by","Сега пазарувате по"
"Previous","Предишен"
"Remove","Премахни"
"Remove This Item","Премахни този елемент"
"Shop By","Пазарувай по"
"Clear All","Изчисти всичко"
"Shopping Options","Опции за пазаруване"
"Welcome to %store_name.","Добре дошли в %store_name."
"Email:","Имейл:"
"Password:","Парола:"
"Password you set when creating account","Паролата, която задавате при създаването на профила"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Забравили сте парола профила си? Кликнете <a href=""%reset_url"">тук</a>, за да я нулирате."
"When you sign in to your account, you will be able to:","Когато влезете в профила си, вие ще можете да:"
"Quick Checkout","Бърза поръчка"
"Proceed through checkout faster","Продължете по-бързо поръчката си"
"Order Status","Статус на поръчката"
"Check the status of orders","Провери състоянието на поръчките"
"Manage Addresses","Управление Адреси"
"Store alternative addresses","Съхранявайте алтернативни адреси"
"For shipping to multiple family members and friends","За доставка до няколко членове на семейството и приятели"
"Order History","История на поръчките"
"View past orders","Преглед на последните поръчки"
"About Us","За нас"
"Customer Service","Обслужване на клиенти"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Работно време:<br /><span class=""no-link"">%store_hours</span>."
"Thank you for your order from %store_name.","Благодарим Ви за вашата поръчка от %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Можете да проверите състоянието на вашата поръчка като <a href=""%account_url"">влезете във Вашия акаунт</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Ако имате въпроси относно вашата поръчка, можете да ни пишете на адрес <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Вашият кредитно известие #%creditmemo_id за поръчка #%order_id"
"Billing Info","Информация за плащане"
"Shipping Info","Информация за доставка"
"Payment Method","Метод на плащане"
"Shipping Method","Метод на доставката"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Вашата поръчка #%increment_id е актуализирана до статус <strong>%order_status</strong>."
"Your Invoice #%invoice_id for Order #%order_id","Вашата фактура #%invoice_id за поръчка #%order_id"
"Once your package ships we will send you a tracking number.","След като пуснем Вашата пратка за доставка, ще Ви изпратим номер за проследяване."
"Your Order <span class=""no-link"">#%increment_id</span>","Вашата поръчка <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Направена на <span class=""no-link"">%created_at</span>"
"Your shipping confirmation is below. Thank you again for your business.","Потвърждението за Вашата пратката е по-долу. Благодарим Ви отново за Вашата поръчка."
"Your Shipment #%shipment_id for Order #%order_id","Вашата пратка #%shipment_id за поръчка #%order_id""Sign In", "Вход"
"Search", "Търсене"
"Puffs","Пуфове"
"Stools","Табуретки"
"Modules","Модули"
"View all Puffs", "Виж всички Пуфове"
"View all Stools", "Виж всички Табуретки"
"View all Modules", "Виж всички Модули"
